iter	Passed	Remaining
0	4	937
1	10	1030
2	15	1047
3	21	1048
4	25	1016
5	31	1022
6	36	1020
7	41	1013
8	46	1007
9	52	1010
10	57	1002
11	62	988
12	67	983
13	72	972
14	77	960
15	81	949
16	86	938
17	91	932
18	96	925
19	101	922
20	109	943
21	114	940
22	119	932
23	124	924
24	129	915
25	134	907
26	138	900
27	143	894
28	149	889
29	153	882
30	158	874
31	163	871
32	168	861
33	175	867
34	181	866
35	187	866
36	193	862
37	205	885
38	220	921
39	228	923
40	233	916
41	238	907
42	243	901
43	249	895
44	255	890
45	260	884
46	266	877
47	271	870
48	276	862
49	281	855
50	286	848
51	291	841
52	297	837
53	302	830
54	307	822
55	313	816
56	318	809
57	323	802
58	328	795
59	333	789
60	338	782
61	344	777
62	349	771
63	354	764
64	359	758
65	364	750
66	368	743
67	373	736
68	379	731
69	384	724
70	388	717
71	394	712
72	399	705
73	404	698
74	409	693
75	414	686
76	419	680
77	423	673
78	428	667
79	433	661
80	438	654
81	443	649
82	448	642
83	453	636
84	457	630
85	462	624
86	467	617
87	472	611
88	477	606
89	482	600
90	487	594
91	492	589
92	497	583
93	502	576
94	506	571
95	511	565
96	516	558
97	520	552
98	526	547
99	530	541
100	534	534
101	539	529
102	544	523
103	550	518
104	556	514
105	562	509
106	566	503
107	571	497
108	576	492
109	582	486
110	587	481
111	592	475
112	597	470
113	602	465
114	607	459
115	612	454
116	617	448
117	622	443
118	627	437
119	632	432
120	637	426
121	642	421
122	647	416
123	652	410
124	657	405
125	663	399
126	668	394
127	673	389
128	678	383
129	683	378
130	688	373
131	694	368
132	700	363
133	705	358
134	712	353
135	718	348
136	724	343
137	730	338
138	736	333
139	741	328
140	747	323
141	753	318
142	758	313
143	764	308
144	770	302
145	776	297
146	781	292
147	786	286
148	791	281
149	796	276
150	801	270
151	807	265
152	812	260
153	817	254
154	824	249
155	830	244
156	835	239
157	841	234
158	846	228
159	852	223
160	858	218
161	864	213
162	869	208
163	874	202
164	879	197
165	884	191
166	889	186
167	895	181
168	900	175
169	905	170
170	910	165
171	915	159
172	921	154
173	925	148
174	930	143
175	935	138
176	940	132
177	944	127
178	949	121
179	954	116
180	959	111
181	964	106
182	970	100
183	976	95
184	981	90
185	986	84
186	992	79
187	997	74
188	1002	68
189	1008	63
190	1013	58
191	1019	53
192	1025	47
193	1030	42
194	1036	37
195	1041	31
196	1046	26
197	1051	21
198	1057	15
199	1062	10
200	1068	5
201	1073	0
