iter	RMSE
0	8.476920244
1	8.303134959
2	8.137774917
3	7.990465181
4	7.830035694
5	7.690198469
6	7.540072221
7	7.369561286
8	7.246729269
9	7.121463962
10	6.990366474
11	6.843213436
12	6.713486609
13	6.583862609
14	6.456933737
15	6.347432618
16	6.24598385
17	6.130308379
18	6.018079902
19	5.907926137
20	5.817443993
21	5.699940816
22	5.598842288
23	5.490802443
24	5.405185298
25	5.305943383
26	5.207433656
27	5.116379666
28	5.03224659
29	4.943647235
30	4.854609832
31	4.77900403
32	4.682049129
33	4.60779216
34	4.524158526
35	4.452451266
36	4.361734118
37	4.286236209
38	4.220116659
39	4.138909489
40	4.064536888
41	4.004575751
42	3.94544627
43	3.891612216
44	3.832991754
45	3.772892519
46	3.716243955
47	3.657705883
48	3.606184082
49	3.552472067
50	3.49856552
51	3.446779824
52	3.392274643
53	3.328711363
54	3.276552097
55	3.231411768
56	3.180333755
57	3.122406537
58	3.080102273
59	3.034477806
60	2.990627034
61	2.944779803
62	2.895805731
63	2.851609149
64	2.801293108
65	2.767715253
66	2.724880346
67	2.687843338
68	2.654627193
69	2.618467627
70	2.579485891
71	2.547730639
72	2.505431941
73	2.468704416
74	2.430922132
75	2.395427075
76	2.366433344
77	2.331422096
78	2.298054029
79	2.275849881
80	2.239180285
81	2.214261643
82	2.186675411
83	2.161343226
84	2.135473385
85	2.107909123
86	2.083580067
87	2.055184058
88	2.033538238
89	2.006957795
90	1.986397667
91	1.964132112
92	1.937736052
93	1.918486929
94	1.904161273
95	1.881615629
96	1.858758471
97	1.843947018
98	1.82504522
99	1.806734009
100	1.787853097
101	1.771039214
102	1.754247742
103	1.736888027
104	1.718075011
105	1.697495205
106	1.68080514
107	1.665307654
108	1.646169727
109	1.627948787
110	1.611251865
111	1.59415416
112	1.577791198
113	1.565085668
114	1.55083569
115	1.539717841
116	1.52769273
117	1.515515107
118	1.5011767
119	1.487641017
120	1.478091535
121	1.464546207
122	1.451904979
123	1.438504441
124	1.427675183
125	1.418576482
126	1.408740788
127	1.39667419
128	1.385522156
129	1.37382653
130	1.361993781
131	1.349875248
132	1.33648136
133	1.327747481
134	1.319974072
135	1.308635459
136	1.298517418
137	1.289989677
138	1.280421655
139	1.272763759
140	1.262695478
141	1.253286594
142	1.242873689
143	1.234662875
144	1.224084754
145	1.216225021
146	1.206343818
147	1.197466775
148	1.188729274
149	1.180581971
150	1.172068641
151	1.162469411
152	1.154677296
153	1.147822654
154	1.139767963
155	1.131792801
156	1.126808785
157	1.117735917
158	1.112758449
159	1.105138241
160	1.098749819
161	1.092349581
162	1.086384543
163	1.07936042
164	1.07408574
165	1.068394882
166	1.061581778
167	1.057094964
168	1.051160296
169	1.046405501
170	1.039781786
171	1.035382323
172	1.02941405
173	1.024144109
174	1.020784204
175	1.015074362
176	1.010186471
177	1.005697335
178	1.001017893
179	0.9933781395
180	0.9867306631
181	0.9819417461
182	0.9757805602
183	0.9703191895
184	0.9643299989
185	0.9579545064
186	0.9525102757
187	0.9476741192
188	0.9417966772
189	0.9365305235
190	0.9303529851
191	0.9242687759
192	0.9200626068
193	0.914117353
194	0.9076418423
195	0.9040770683
196	0.9000579026
197	0.8946566027
198	0.8899706206
199	0.8853933079
200	0.882163503
201	0.8761619455
202	0.870306639
203	0.865390966
204	0.8593566434
205	0.8542719791
206	0.8506792758
207	0.8476671542
208	0.8422189827
209	0.8379155636
210	0.8333550494
211	0.8302770663
212	0.827644984
213	0.8223196383
214	0.8187241102
215	0.8157120616
216	0.8105352429
217	0.8060482315
218	0.8011619366
219	0.796459222
220	0.7933519683
221	0.7891629371
222	0.7847082208
223	0.7821928453
224	0.7796296902
225	0.7766516841
226	0.7745343882
227	0.7706171546
228	0.7653176189
229	0.7608835994
230	0.7580558054
231	0.756165012
232	0.7532310359
233	0.7501651472
234	0.7454864386
235	0.7412198945
236	0.7390774939
237	0.7351573936
238	0.7301404134
239	0.7275439756
240	0.7254174409
241	0.7222559151
242	0.7198655073
243	0.7178070627
244	0.7135737878
245	0.7110942218
246	0.7088427322
247	0.7029244788
248	0.697210773
249	0.6927445328
250	0.6900933888
251	0.6887020119
252	0.6868476043
253	0.6857529439
254	0.6847961058
255	0.6830471262
256	0.6812193204
257	0.6785083988
258	0.6769171397
259	0.6722597567
260	0.6699439054
261	0.6664049917
262	0.6648883678
263	0.663313737
264	0.6584686569
265	0.6540889148
266	0.6503849147
267	0.6489371628
268	0.6441273849
269	0.6403167839
270	0.6392730046
271	0.6372771144
272	0.6331883552
273	0.6319745541
274	0.6290204989
275	0.6232982338
276	0.6220459072
277	0.6211914722
278	0.6166568614
279	0.6124736473
280	0.6116498429
281	0.6079237904
282	0.6066823136
283	0.6023781463
284	0.6015662425
285	0.6005351574
286	0.5999391909
287	0.5994557595
288	0.5978031879
289	0.59382374
290	0.5933198486
291	0.5895176476
292	0.5890522546
293	0.5886671404
294	0.5878724934
295	0.5839538893
296	0.5818872772
297	0.5777868999
298	0.5748053522
299	0.5710287423
300	0.5703685054
301	0.5697947906
302	0.5675128841
303	0.5665811055
304	0.5660938531
305	0.5621194224
306	0.5586208741
307	0.5581600307
308	0.5570532712
309	0.5535872494
310	0.5513586226
311	0.547508143
312	0.5439104714
313	0.5435314756
314	0.540306203
315	0.5398812574
316	0.5362117458
317	0.5358551822
318	0.535505052
319	0.5320422217
320	0.5284724245
321	0.5268280002
322	0.5264442993
323	0.5261873273
324	0.5238400209
325	0.5203999873
326	0.5194421415
327	0.5190018145
328	0.5159874067
329	0.5122522691
330	0.5089688601
331	0.5086353719
332	0.5068292635
333	0.5064742089
334	0.5053263318
335	0.5043316174
336	0.5012043133
337	0.5008115238
338	0.4972846897
339	0.4944436953
340	0.4915525813
341	0.4906674761
342	0.4876840628
343	0.4845334166
344	0.4816290915
345	0.4787204867
346	0.475678198
347	0.4738075086
348	0.471522252
349	0.4693981576
350	0.4691166075
351	0.4667990704
352	0.464293202
353	0.4616061338
354	0.4587775093
355	0.4566098004
356	0.4563295269
357	0.4556278904
358	0.453962092
359	0.4518158579
360	0.4493326421
361	0.447070495
362	0.4463006142
363	0.4433989569
364	0.4409012196
365	0.4385810799
366	0.4379003881
367	0.4354488335
368	0.4334321437
369	0.4313678639
370	0.4294592146
371	0.4269520999
372	0.4245363534
373	0.4226358819
374	0.4202657804
375	0.4187691278
376	0.4171209972
377	0.4146030029
378	0.4127605898
379	0.4113606835
380	0.408787997
381	0.4064393711
382	0.4040954015
383	0.4030758672
384	0.4008082178
385	0.3986039563
386	0.3966155269
387	0.3941191335
388	0.3922385543
389	0.3900571381
390	0.3894392652
391	0.3877189517
392	0.3858887864
393	0.3854041982
394	0.3834620542
395	0.3817875962
396	0.3800140517
397	0.3791156826
398	0.3784369474
399	0.376520367
400	0.374716302
401	0.3728113017
402	0.3712096231
403	0.3707043477
404	0.368688038
405	0.3673293251
406	0.3661417991
407	0.3645498126
408	0.3628879344
409	0.3610338607
410	0.3594382438
411	0.35722228
412	0.3558148049
413	0.3539427897
414	0.352291791
415	0.350778575
416	0.3495039508
417	0.3480876098
418	0.3466658086
419	0.3452648832
420	0.3433091549
421	0.3418529867
422	0.3411989715
423	0.3401591451
424	0.3387406745
425	0.337041171
426	0.3363529083
427	0.3347100121
428	0.3335606392
429	0.3323754416
430	0.3310848305
431	0.3306868387
432	0.3294124216
433	0.32765778
434	0.326024427
