iter	Passed	Remaining
0	2	2956
1	38	19107
2	39	13008
3	39	9948
4	40	8128
5	42	6967
6	42	6067
7	43	5414
8	44	4898
9	45	4471
10	46	4141
11	46	3853
12	47	3604
13	48	3413
14	50	3314
15	52	3206
16	53	3112
17	55	3008
18	60	3127
19	61	3010
20	62	2891
21	63	2802
22	63	2707
23	64	2621
24	65	2545
25	65	2470
26	67	2418
27	67	2353
28	69	2311
29	69	2257
30	70	2203
31	71	2156
32	71	2102
33	72	2051
34	72	2006
35	73	1961
36	73	1918
37	74	1877
38	74	1837
39	75	1800
40	75	1766
41	77	1758
42	77	1726
43	78	1700
44	78	1673
45	79	1644
46	79	1616
47	80	1590
48	80	1565
49	81	1547
50	81	1525
51	82	1503
52	83	1485
53	83	1465
54	84	1447
55	84	1429
56	85	1414
57	85	1395
58	86	1377
59	86	1361
60	87	1344
61	87	1328
62	88	1312
63	88	1297
64	89	1282
65	89	1268
66	90	1253
67	90	1242
68	91	1231
69	91	1220
70	92	1210
71	93	1200
72	93	1188
73	94	1178
74	94	1169
75	95	1159
76	95	1148
77	96	1138
78	97	1131
79	97	1122
80	98	1112
81	98	1103
82	99	1096
83	99	1088
84	100	1078
85	100	1070
86	101	1063
87	101	1054
88	102	1048
89	103	1047
90	104	1041
91	104	1034
92	105	1027
93	105	1020
94	106	1015
95	107	1007
96	107	1000
97	107	993
98	108	986
99	108	979
100	109	972
101	109	965
102	110	958
103	110	951
104	110	945
105	111	938
106	111	932
107	112	932
108	113	928
109	114	922
110	114	919
111	115	915
112	116	911
113	116	907
114	117	901
115	117	896
116	118	891
117	118	886
118	119	881
119	119	876
120	120	872
121	121	871
122	121	866
123	122	862
124	122	857
125	123	853
126	123	848
127	123	844
128	124	839
129	124	834
130	125	830
131	125	826
132	126	821
133	126	817
134	126	813
135	127	808
136	127	805
137	128	805
138	129	801
139	130	798
140	130	794
141	130	791
142	132	796
143	133	793
144	134	793
145	135	790
146	136	790
147	136	786
148	137	784
149	137	781
150	139	782
151	139	778
152	140	775
153	140	772
154	141	768
155	141	765
156	141	762
157	142	759
158	142	756
159	143	753
160	144	751
161	145	750
162	145	748
163	146	744
164	146	741
165	147	738
166	147	735
167	147	732
168	148	729
169	148	726
170	149	723
171	149	720
172	150	718
173	150	715
174	151	712
175	151	709
176	152	707
177	152	704
178	152	701
179	153	698
180	153	695
181	154	692
182	154	690
183	155	687
184	155	685
185	156	682
186	156	680
187	156	677
188	157	674
189	157	672
190	158	669
191	158	667
192	159	665
193	160	665
194	160	663
195	161	662
196	161	659
197	162	657
198	162	655
199	163	652
200	163	650
201	164	648
202	165	649
203	165	647
204	166	645
205	166	643
206	167	640
207	167	638
208	168	636
209	168	634
210	169	632
211	169	630
212	169	628
213	170	626
214	170	624
215	171	621
216	171	619
217	172	617
218	172	615
219	173	613
220	173	611
221	173	609
222	174	607
223	175	606
224	175	605
225	176	603
226	178	609
